brand,name,link,price,80PLUS,form factor,depth,modular,EPS8pin,OEM,platform,pcb,primary topology,primary cap(s) brand,secondary side topology,secondary electrolytic caps brand,secondary solid caps brand,modular board caps,fan,fanless mode,note,review/image_1,review/image_2,review/image_3,review/image_4
Scythe,CORE-SFX300,https://kakaku.com/item/K0000643353/,"¥3,123",Not Certified,SFX,100,fixed,-,unknown,unknown,single sided,unknown,unknown,unknown,unknown,unknown,n/a,QHD 80mm,n/a,-,http://hatoka.blog.fc2.com/blog-entry-60.html,-,-,-
Scythe,CORE-TFX275,https://kakaku.com/item/K0000933818/,"¥3,252",Not Certified,TFX,175,fixed,-,unknown,unknown,single sided,unknown,unknown,unknown,unknown,unknown,n/a,QHD QH8020SE 12M,n/a,-,https://sarashina.info/pc/vostrodengen.html,-,-,-
Scythe,Ichi Power IP250B,https://kakaku.com/item/K0000275816/,"¥2,580",Not Certified,ATX,140,fixed,-,unknown,unknown,single sided,unknown,unknown,unknown,unknown,unknown,n/a,unknown,n/a,-,-,-,-,-
Scythe,鎌力シルバー プラグイン750W SPKS-750P,https://kakaku.com/item/K0000914833/,"¥6,891",Silver,ATX,160,semi,x1,Sirtec,Sirtec Astro Lite HPM ,single sided,half-bridge LLC,unknown,Synchronous Rectification + DC/DC,unknown 105c,n/a,n/a,unknown,n/a,-,https://www.scythe.co.jp/product/power/spks-750p,-,-,-
Scythe,剛短3 プラグイン SPGT3-400P,https://kakaku.com/item/K0000904367/,"¥8,833",Bronze,ATX,123,semi,x1,Sirtec,Sirtec Element Smart,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,-,-,-,-,-
Scythe,剛短4 プラグイン SPGT4-500P,https://kakaku.com/item/K0001119172/,"¥6,255",Bronze,ATX,125,semi,x1,Sirtec,Sirtec Element Smart,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,-,-,-,-,-
Scythe,剛短4 プラグイン SPGT4-600P,https://kakaku.com/item/K0001119173/,"¥6,675",Bronze,ATX,125,semi,x1,Sirtec,Sirtec Element Smart,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,-,-,-,-,-
Scythe,剛短4 プラグイン SPGT4-700P,https://kakaku.com/item/K0001119174/,"¥7,480",Bronze,ATX,125,semi,x1,Sirtec,Sirtec Element Smart,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,-,-,-,-,-
Seasonic,SSR-450FM,https://kakaku.com/item/K0001042495/,"¥9,255",Gold,ATX,140,semi,x1,Seasonic,Seasonic Focus Gold,double sided,full-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,japanese 105c,chemi-con or FPCAP,chemi-con or FPCAP,HongHua HA1225H12F-Z,n/a,-,-,-,-,-
Seasonic,SSR-550FM,https://kakaku.com/item/K0001042496/,"¥9,979",Gold,ATX,140,semi,x1,Seasonic,Seasonic Focus Gold,double sided,full-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,japanese 105c,chemi-con or FPCAP,chemi-con or FPCAP,HongHua HA1225H12F-Z,n/a,-,https://review.kakaku.com/review/K0001042496/ReviewCD=1191453/ImageID=443813/,-,-,-
Sharkoon,SHA-SFX450B,https://kakaku.com/item/K0000746880/,"¥8,959",Bronze,SFX,100,semi,x1,Sirtec,Sirtec Compact SFX Bronze,single sided,double forward,unknown,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,unknown,n/a,-,https://www.dospara.co.jp/monotech/news/12445.html,-,-,-
SILVERSTONE,SST-ET550-B,https://kakaku.com/item/K0000966592/,"¥5,378",Bronze,ATX,140,fixed,x1,CWT,CWT GPK,single sided,double forward,japanese 105c,Passive Rectification + Group Regulation,? CapXon/JunFu 105c,n/a,n/a,? HongHua HA1225H12S-Z,n/a,-,-,-,-,-
SILVERSTONE,SST-ET550-G,https://kakaku.com/item/K0000993123/,"¥8,210",Gold,ATX,140,fixed,x1,CWT,CWT GPS,single sided,half-bridge LLC,japanese 105c?,Synchronous Rectification + DC/DC,unknown 105c,unknown,n/a,unknown,n/a,-,-,-,-,-
SILVERSTONE,SST-ET550-HG,https://kakaku.com/item/K0001017317/,"¥8,950",Gold,ATX,160,semi,x1,CWT,CWT GPS,single sided,half-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,? CapXon/Su'scon/JunFu/ChengX 105c,? APAQ/Elite,n/a,? Yateloon D14SM-12,n/a,-,-,-,-,-
SILVERSTONE,SST-ET650-B,https://kakaku.com/item/K0000966591/,"¥6,059",Bronze,ATX,140,fixed,x1,CWT,CWT GPK,single sided,double forward,japanese 105c,Passive Rectification + Group Regulation,CapXon/JunFu 105c,n/a,n/a,HongHua HA1225H12S-Z,n/a,-,http://www.realhardtechx.com/index_archivos/SILVERSTONE_Essential_series_ET650_B_650W_5.html,-,-,-
SILVERSTONE,SST-ET650-G,https://kakaku.com/item/K0000993124/,"¥9,720",Gold,ATX,140,fixed,x1,CWT,CWT GPS,single sided,half-bridge LLC,japanese 105c?,Synchronous Rectification + DC/DC,unknown 105c,unknown,n/a,unknown,n/a,-,-,-,-,-
SILVERSTONE,SST-ET650-HG,https://kakaku.com/item/K0001017318/,"¥9,480",Gold,ATX,160,semi,x1,CWT,CWT GPS,single sided,half-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,? CapXon/Su'scon/JunFu/ChengX 105c,? APAQ/Elite,n/a,? Yateloon D14SM-12,n/a,-,-,-,-,-
SILVERSTONE,SST-ET750-G,https://kakaku.com/item/K0000993125/,"¥9,050",Gold,TFX,140,fixed,x1,CWT,CWT GPS,single sided,half-bridge LLC,japanese 105c?,Synchronous Rectification + DC/DC,unknown 105c,unknown,n/a,unknown,n/a,-,-,-,-,-
SILVERSTONE,SST-ET750-HG,https://kakaku.com/item/K0001017319/,"¥8,640",Gold,ATX,160,semi,x1,CWT,CWT GPS,single sided,half-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,CapXon/Su'scon/JunFu/ChengX 105c,APAQ/Elite,n/a,Yateloon D14SM-12,n/a,-,https://www.profesionalreview.com/2018/06/03/silverstone-et750-hg-gold-review/,https://tecnolocura.es/silverstone-et750-hg-psu-review/,https://aphnetworks.com/reports/silverstone-essential-gold-et750-hg-750w/3,https://bit-tech.net/reviews/tech/psus/silverstone-essential-gold-750w-review/1/
SILVERSTONE,SST-ST30SF V2,https://kakaku.com/item/K0000927889/,"¥5,180",Bronze,SFX,100,fixed,x1,Sirtec,(SST-ST45SF V3),single sided,double forward,japanese 105c,Passive Rectification + DC/DC,chemi-con/TEAPO 105c,n/a,Teapo,Globefan S0921512M,n/a,-,https://smallformfactor.net/reviews/silverstone-st30sf-v2-0-st45sf-v3-0-review/,https://www.anandtech.com/show/11070/the-silverstone-st30sf-st45sf-sfx-psu-review/2,https://www.cybenetics.com/index.php?option=database&manfID=51&volts=1,-
SILVERSTONE,SST-ST40F-ESB,https://kakaku.com/item/K0000738815/,"¥5,480",Bronze,ATX,140,fixed,x1,Enhance,Enhance ATX1200B,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,V2,https://www.silverstonetek.com/product.php?pid=556,-,-,-
SILVERSTONE,SST-ST45SF,https://kakaku.com/item/K0000102888/,"¥5,445",Bronze,SFX,140,fixed,x1,FSP,FSP SFX GHS,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,-,https://www.silverstonetek.com/product.php?pid=253&area=jp,-,-,-
SILVERSTONE,SST-ST45SF V3,https://kakaku.com/item/K0000935379/,"¥9,060",Bronze,SFX,100,fixed,x1,Sirtec,(SST-ST45SF V3),single sided,double forward,japanese 105c,Passive Rectification + DC/DC,chemi-con/TEAPO 105c,n/a,Teapo,Globefan S0921512H,n/a,-,https://smallformfactor.net/reviews/silverstone-st30sf-v2-0-st45sf-v3-0-review/,https://www.anandtech.com/show/11070/the-silverstone-st30sf-st45sf-sfx-psu-review/2,https://www.cybenetics.com/index.php?option=database&manfID=51&volts=1,-
SILVERSTONE,SST-ST45SF-G,https://kakaku.com/item/K0000401596/,"¥8,880",Gold,SFX,100,full,x1,Enhance,Enhance ENP7100S,double sided,half-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/rubycon 105c,Teapo 105c,n/a,ADDA AD0812HB-D70 or YONGLIN TECH DFB801512H,n/a,-,https://www.hardocp.com/article/2013/03/14/silverstone_sfx_st45sfg_450w_power_supply_review/3,https://diit.cz/clanek/silverstone-sfx-series-450-w-sst-st45sf-g/sekundarni-strana-kvalita-provedeni,https://www.59hardware.net/articles/alimentations/alimentation-sfx-silverstone-sst-st45sf-g-2014060916067/all.html,-
SILVERSTONE,SST-ST50F-ESB,https://kakaku.com/item/K0000738816/,"¥6,250",Bronze,ATX,140,fixed,x1,Enhance,Enhance ATX1200B,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,V2,https://www.silverstonetek.com/product.php?pid=557,-,-,-
SILVERSTONE,SST-ST50F-ESG,https://kakaku.com/item/K0000614642/,"¥8,880",Gold,ATX,140,semi,x1,FSP,FSP Raider,single sided,Active-Clamp,Panasonic 105c,Synchronous Rectification + Group(5V/3.3V) Regulation,chemi-con/rubycon 105c,n/a,n/a,Yateloon D12SM-12,n/a,-,https://www.%65xpreview.com/32812-all.html,https://lab501.ro/carcase-surse/silverstone-strider-essential-gold-500w-st50f-esg-review/3,-,-
SILVERSTONE,SST-ST60F-ESB,https://kakaku.com/item/K0000614644/,"¥7,180",Bronze,ATX,140,fixed,x1,Enhance,Enhance ATX1200B,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,V2,https://www.silverstonetek.com/product.php?pid=463,-,-,-
SILVERSTONE,SST-ST60F-PB,https://kakaku.com/item/K0000723873/,"¥9,280",Bronze,ATX,140,semi,x1,Enhance,Enhance ATX1200B,single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,Teapo/TAICON 105c,n/a,unknown,Yateloon D12SH-12,n/a,-,https://nl.hardware.info/product/275000/silverstone-strider-plus-600w,http://www.tweaks.pl/zasilacze/siverstone-strider-plus-st60f-pb-600w-test-modularnego-zasilacza/3/,https://www.ix%62t.com/power/psu/silverstone-st60f-pb-2015.shtml,-
SILVERSTONE,SST-ST70F-ESB,https://kakaku.com/item/K0000614643/,"¥9,480",Bronze,ATX,140,semi,x1,Enhance,Enhance ATX1200B,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,-,https://www.silverstonetek.com/product.php?pid=464&area=jp,-,-,-
SILVERSTONE,SST-SX300-B,https://kakaku.com/item/K0001218762/,"¥7,677",Bronze,SFX,100,fixed,x1,unknown,unknown,single sided,unknown,unknown,Passive Rectification + DC/DC,unknown,APAQ,n/a,unknown,n/a,FSPか？,-,-,-,-
SILVERSTONE,SST-SX450-B,https://kakaku.com/item/K0001218763/,"¥9,877",Bronze,SFX,100,fixed,x1,unknown,unknown,single sided,unknown,unknown,Passive Rectification + DC/DC,unknown,APAQ,n/a,unknown,n/a,FSPか？,-,-,-,-
SILVERSTONE,SST-TX300,https://kakaku.com/item/K0000951442/,"¥7,510",Bronze,TFX,175,fixed,x1,CWT,CWT GPF,single sided,double forward,unknown,Passive Rectification + Group Regulation,unknown 105c,n/a,n/a,unknown,n/a,-,"https://www.tomshardware.com/news/tx300-silverstone-first-tfx-psu,34470.html",https://ru.gecid.com/power/chieftec_gpf-250p/?s=all,-,-
SUPER FLOWER,LEADEX III GOLD 550W,https://kakaku.com/item/K0001187329/,"¥9,980",Gold,ATX,160,full,x1,SUPER FLOWER,LEADEX III GOLD,double sided,half-bridge LLC,chemi-con 105c,Synchronous Rectification + DC/DC,japanese 105c,FPCAP,Chemi-con/Teapo,Globefan S1282412L,yes,-,ftp://members.cybenetics.report/PDF_Reports/d/cybenetics_sm4.pdf,-,-,-
Thermaltake,SMART 350W STANDARD PS-SPD-0350NPCWJP-W,https://kakaku.com/item/K0000873512/,"¥3,736",Standard,ATX,140,fixed,x1,HKC(九州阳光电源)?,unknown,single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,ChengX 105c,n/a,n/a,unknown,n/a,-,https://www.ask-corp.jp/products/thermaltake/power-supply/smart-standard.html,-,-,-
Thermaltake,SMART 500W STANDARD PS-SPD-0500NPCWJP-W,https://kakaku.com/item/K0000873513/,"¥4,180",Standard,ATX,140,fixed,x1,HKC(九州阳光电源)?,unknown,single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,ChengX 105c,n/a,n/a,unknown,n/a,-,https://www.ask-corp.jp/products/thermaltake/power-supply/smart-standard.html,-,-,-
Thermaltake,SMART 600W STANDARD PS-SPD-0600NPCWJP-W,https://kakaku.com/item/K0000873514/,"¥4,341",Standard,ATX,140,fixed,x1,HKC(九州阳光电源)?,unknown,single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,ChengX 105c,n/a,n/a,unknown,n/a,-,https://www.ask-corp.jp/products/thermaltake/power-supply/smart-standard.html,-,-,-
Thermaltake,Smart BX1 RGB 550W BRONZE PS-SPR-0550NHFABJ-1,https://kakaku.com/item/K0001109731/,"¥5,380",Bronze,ATX,140,fixed,x1,HKC(九州阳光电源),unknown,single sided,double forward,? Rubycon 105c,Passive Rectification + Group Regulation,ChengX 105c,jb capacitors(?),n/a,? XIN WANG XW12025MS(TT-1225),n/a,3C認証：2018010907125969,-,-,-,-
Thermaltake,Smart BX1 RGB 650W BRONZE PS-SPR-0650NHFABJ-1,https://kakaku.com/item/K0001109732/,"¥6,210",Bronze,ATX,140,fixed,x1,HKC(九州阳光电源),unknown,single sided,double forward,Rubycon 105c,Passive Rectification + Group Regulation,ChengX 105c,jb capacitors(?),n/a,XIN WANG XW12025MS(TT-1225),n/a,3C認証：2018010907125969,https://www.nikktech.com/main/articles/pc-hardware/power-supplies/9816-thermaltake-smart-bx1-rgb-650w-power-supply-unit-review?start=4,https://www.hardwareluxx.ru/index.php/artikel/hardware/netzteile/47691-test-i-obzor-thermaltake-smart-bx1-rgb-650w-blok-pitaniya-s-rgb-podsvetkoj-po-vygodnoj-tsene.html?start=2,-,-
Thermaltake,Smart BX1 RGB 750W BRONZE PS-SPR-0750NHFABJ-1,https://kakaku.com/item/K0001109733/,"¥8,078",Bronze,ATX,140,fixed,x1,HKC(九州阳光电源),unknown,single sided,double forward,Rubycon 105c,Passive Rectification + DC/DC?,ChengX 105c,jb capacitors(?),n/a,? XIN WANG XW12025MS(TT-1225),n/a,-,https://megaobzor.com/review-Thermaltake-Smart-BX1-RGB-750W.html,-,-,-
Thermaltake,TOUGHPOWER GX1 RGB GOLD 500W PS-TPD-0500NHFAGJ-1,https://kakaku.com/item/K0001115222/,"¥5,979",Gold,ATX,140,fixed,x1,HKC(九州阳光电源),unknown,single sided,half-bridge LLC,Rubycon 105c,Synchronous Rectification + DC/DC,ChengX 105c,Teapo,n/a,XIN WANG XW12025MS(TT-1225),n/a,3C認証：2018010907125297,https://www.thermaltake.com/toughpower-gx1-rgb-600w-gold.html,-,-,-
Thermaltake,TOUGHPOWER GX1 RGB GOLD 600W PS-TPD-0600NHFAGJ-1,https://kakaku.com/item/K0001115223/,"¥6,794",Gold,ATX,140,fixed,x1,HKC(九州阳光电源),unknown,single sided,half-bridge LLC,Rubycon 105c,Synchronous Rectification + DC/DC,ChengX 105c,Teapo,n/a,XIN WANG XW12025MS(TT-1225),n/a,3C認証：2018010907125297,https://www.thermaltake.com/toughpower-gx1-rgb-600w-gold.html,https://occlub.ru/testodrom/37587-thermaltake-toughpower-gx1-rgb-600-vt-obzor-jeksperiment-udalsja/4,-,-
Thermaltake,TOUGHPOWER GX1 RGB GOLD 700W PS-TPD-0700NHFAGJ-1,https://kakaku.com/item/K0001115224/,"¥7,893",Gold,ATX,140,fixed,x1,HKC(九州阳光电源),unknown,single sided,half-bridge LLC,Rubycon 105c,Synchronous Rectification + DC/DC,ChengX 105c,Teapo,n/a,XIN WANG XW12025MS(TT-1225),n/a,3C認証：2018010907125297,https://www.thermaltake.com/toughpower-gx1-rgb-600w-gold.html,-,-,-
Thermaltake,TR2 450W V2 BRONZE PS-TR2-0450NPCBJP-B-V2,https://kakaku.com/item/K0000873519/,"¥5,445",Bronze,ATX,140,fixed,x1,CWT,CWT GPK,single sided,double forward,japanese 105c,Passive Rectification + Group Regulation,CapXon 105c,n/a,n/a,unknown,n/a,-,https://kakaku.com/item/K0000873520/images/page=ka_5/,-,-,-
Thermaltake,TR2 450W V2 GOLD PS-TR2-0450NPCGJP-G-V2,https://kakaku.com/item/K0000873515/,"¥5,979",Gold,ATX,140,fixed,x1,Sirtec,Sirtec Astro Lite HPM,single sided,half-bridge LLC,Teapo 85c,Synchronous Rectification + DC/DC,TEAPO 105c,Teapo,n/a,unknown,n/a,-,https://www.ask-corp.jp/products/thermaltake/power-supply/tr2-v2-gold.html,-,-,-
Thermaltake,TR2 500W V2 BRONZE PS-TR2-0500NPCBJP-B-V2,https://kakaku.com/item/K0000873520/,"¥6,673",Bronze,ATX,140,fixed,x1,CWT,CWT GPK,single sided,double forward,japanese 105c,Passive Rectification + Group Regulation,CapXon 105c,n/a,n/a,unknown,n/a,-,https://kakaku.com/item/K0000873520/images/page=ka_5/,-,-,-
Thermaltake,TR2 500W V2 GOLD PS-TR2-0500NPCGJP-G-V2,https://kakaku.com/item/K0000873516/,"¥6,232",Gold,ATX,140,fixed,x1,Sirtec,Sirtec Astro Lite HPM,single sided,half-bridge LLC,Teapo 85c,Synchronous Rectification + DC/DC,TEAPO 105c,Teapo,n/a,unknown,n/a,-,https://www.ask-corp.jp/products/thermaltake/power-supply/tr2-v2-gold.html,-,-,-
Thermaltake,TR2 600W V2 BRONZE PS-TR2-0600NPCBJP-B-V2,https://kakaku.com/item/K0000873521/,"¥7,214",Bronze,ATX,140,fixed,x1,CWT,CWT GPK,single sided,double forward,japanese 105c,Passive Rectification + Group Regulation,CapXon 105c,n/a,n/a,unknown,n/a,-,https://kakaku.com/item/K0000873520/images/page=ka_5/,-,-,-
Thermaltake,TR2 600W V2 GOLD PS-TR2-0600NPCGJP-G-V2,https://kakaku.com/item/K0000873517/,"¥7,678",Gold,ATX,140,fixed,x1,Sirtec,Sirtec Astro Lite HPM,single sided,half-bridge LLC,Teapo 85c,Synchronous Rectification + DC/DC,TEAPO 105c,Teapo,n/a,unknown,n/a,-,https://www.ask-corp.jp/products/thermaltake/power-supply/tr2-v2-gold.html,-,-,-
ZAWARD,FLEX 250 ENP7025B-126YGD-N,https://kakaku.com/item/K0000419776/,"¥8,732",Bronze,Flex ATX,81.5,fixed,-,Enhance,Enhance ENP7100,unknown,unknown,unknown,unknown,unknown,unknown,n/a,unknown,n/a,-,-,-,-,-
玄人志向,KRPW-AC120W,https://kakaku.com/item/K0000488262/,"¥7,280",Not Certified,AC Brick,0,fixed,-,Enhance,ENA-1112-19 + END0512,n/a,n/a,n/a,DC/DC,chemi-con/rubycon 105c,n/a,n/a,n/a,n/a,-,http://rarak.jp/5510,-,-,-
玄人志向,KRPW-AK650W/88+,https://kakaku.com/item/K0000903028/,"¥6,142",Silver,ATX,140,fixed,x1,Enhance,Enhance ATX1500B,double sided,half-bridge LLC?,japanese 105c,Synchronous Rectification + DC/DC,? TAICON/Teapo 105c,? unicon,n/a,unknown,n/a,-,-,-,-,-
玄人志向,KRPW-AK750W/88+,https://kakaku.com/item/K0000903027/,"¥7,133",Silver,ATX,140,fixed,x1,Enhance,Enhance ATX1500B,double sided,half-bridge LLC?,japanese 105c,Synchronous Rectification + DC/DC,TAICON/Teapo 105c,unicon,n/a,unknown,n/a,-,https://potato.5ch.net/test/read.cgi/jisaku/1308823441/989-990,-,-,-
玄人志向,KRPW-BK450W/85+,https://kakaku.com/item/K0001026571/,"¥4,800",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,chemi-con 105c,FPCAP,chemi-con 105c,DWPH EFS-12E12H,n/a,-,https://egg.5ch.net/test/read.cgi/jisaku/1544418614/717,https://www.amazon.co.jp/dp/B078HLJP9P#aplus_feature_div,-,-
玄人志向,KRPW-BK550W/85+,https://kakaku.com/item/K0001026570/,"¥5,043",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,? chemi-con 105c,? FPCAP,? chemi-con 105c,? DWPH EFS-12E12H,n/a,-,-,https://www.amazon.co.jp/dp/B078HLJP9P#aplus_feature_div,-,-
玄人志向,KRPW-BK650W/85+,https://kakaku.com/item/K0001026569/,"¥5,691",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,chemi-con 105c,FPCAP,chemi-con 105c,? DWPH EFS-12E12H,n/a,-,https://koshitatu.com/?p=12871,https://www.amazon.co.jp/dp/B078HLJP9P#aplus_feature_div,-,-
玄人志向,KRPW-BK750W/85+,https://kakaku.com/item/K0001026568/,"¥6,339",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,? chemi-con 105c,? FPCAP,? chemi-con 105c,? DWPH EFS-12E12H,n/a,-,-,https://www.amazon.co.jp/dp/B078HLJP9P#aplus_feature_div,-,-
玄人志向,KRPW-GK550W/90+,https://kakaku.com/item/K0001012951/,"¥6,664",Gold,ATX,140,full,x1,Enhance,Enhance ATX2700,double sided,half-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,? Teapo/Unicon 105c,unknown,unknown,unknown,n/a,-,-,-,-,-
玄人志向,KRPW-GK650W/90+,https://kakaku.com/item/K0001012950/,"¥8,078",Gold,ATX,140,full,x1,Enhance,Enhance ATX2700,double sided,half-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,? Teapo/Unicon 105c,unknown,unknown,unknown,n/a,-,-,-,-,-
玄人志向,KRPW-GK750W/90+,https://kakaku.com/item/K0001012949/,"¥8,942",Gold,ATX,140,full,x2,Enhance,Enhance ATX2700,double sided,half-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,Teapo/Unicon 105c,unknown,unknown,unknown,n/a,-,https://blog.tsukumo.co.jp/ex/2017/12/_krpw-gk750w90.html,-,-,-
玄人志向,KRPW-L5-400W/80+,https://kakaku.com/item/K0000793727/,"¥3,044",Standard,ATX,140,fixed,x1,Enhance,Enhance ATX1200B,single sided,double forward,Teapo 105c,Passive Rectification + Group Regulation,Teapo/Su'scon/Taicon 105c,n/a,n/a,Yateloon D12SH-12,n/a,-,https://sitifukuzin.com/blog/?p=50799,-,-,-
玄人志向,KRPW-L5-500W/80+,https://kakaku.com/item/K0000793726/,"¥3,623",Standard,ATX,140,fixed,x1,Enhance,Enhance ATX1200B,single sided,double forward,Teapo 105c,Passive Rectification + Group Regulation,Teapo/Su'scon/Taicon 105c,n/a,n/a,? Yateloon D12SH-12,n/a,-,https://akiba-pc.watch.impress.co.jp/img/ah/docs/726/008/html/mdosv1511_9a04.jpg.html,-,-,-
玄人志向,KRPW-L5-600W/80+,https://kakaku.com/item/K0000793725/,"¥4,432",Standard,ATX,140,fixed,x1,Enhance,Enhance ATX1200B,single sided,double forward,? Teapo 105c,Passive Rectification + Group Regulation,? Teapo/Su'scon/Taicon 105c,n/a,n/a,? Yateloon D12SH-12,n/a,-,-,-,-,-
玄人志向,KRPW-MG1200W,https://kakaku.com/item/K0001072540/,"¥8,690",Not Certified,ATX,180,fixed,x1,ATNG,ATNG BT-1200WF,single sided,half-bridge LLC?,JEFA 105c?,Synchronous Rectification + DC/DC?,Teapo 105c?,unknown,n/a,unknown,n/a,-,https://elmir.ua/power_supplies/power_supply_unit_1200w_atng_80+_gold_bulk_eth-1200.html,https://qwertyshop.ua/atng-eth-1200-bulk-1200w,-,-
玄人志向,KRPW-N500W/85+,https://kakaku.com/item/K0000630658/,"¥4,629",Bronze,ATX,125,fixed,x1,ATNG,ATNG ATA-B,single sided,half-bridge LLC,Teapo 105c,Passive Rectification + Group Regulation,Teapo(/Su'scon?) 105c,n/a,n/a,? BOK BDM12025S,n/a,-,https://b.eax.jp/review/11806/,-,-,-
玄人志向,KRPW-N600W/85+,https://kakaku.com/item/K0000779148/,"¥5,280",Bronze,ATX,125,fixed,x1,ATNG,ATNG ATA-B,single sided,half-bridge LLC,Teapo 105c,Passive Rectification + Group Regulation,Teapo(/Su'scon?) 105c,n/a,n/a,BOK BDM12025S,n/a,-,https://akiba-pc.watch.impress.co.jp/docs/dosv/758155.html,-,-,-
玄人志向,KRPW-PT500W/92+ REV2.0,https://kakaku.com/item/K0000623947/,"¥7,069",Platinum,ATX,140,fixed,x1,Enhance,Enhance ATX1300,double sided,half-bridge LLC,Panasonic 105c,Synchronous Rectification + DC/DC,Teapo/TAICON/Su'scon 105c,Teapo or Duratech/Enesol,n/a,? Yateloon D12SH-12,n/a,Ecos ID # 3784.1,-,-,-,-
玄人志向,KRPW-PT600W/92+ REV2.0,https://kakaku.com/item/K0000623946/,"¥8,618",Platinum,ATX,140,fixed,x1,Enhance,Enhance ATX1300,double sided,half-bridge LLC,Panasonic 105c,Synchronous Rectification + DC/DC,Teapo/TAICON/Su'scon 105c,Teapo or Duratech/Enesol,n/a,Yateloon D12SH-12,n/a,Ecos ID # 3785.1,https://u7.getuploader.com/dengensure/download/136,http://will2.web.fc2.com/dengen2.html,-,-
玄人志向,KRPW-RS700W/88+,https://kakaku.com/item/K0000733580/,"¥8,870",Silver,ATX,140,fixed,x1,ATNG,ATNG ATG-S,single sided,unknown,unknown 105c,unknown,unknown 105c,unknown,n/a,unknown,n/a,Ecos ID # 4135.1,-,-,-,-
玄人志向,KRPW-SX400W/90+,https://kakaku.com/item/K0000585478/,"¥6,277",Gold,SFX,100,fixed,-,Enhance,Enhance ENP7100S,double sided,half-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,unknown 105c,unknown,unknown,unknown,n/a,Ecos ID # 3517.1,-,-,-,-
玄人志向,KRPW-SXP600W/90+,https://kakaku.com/item/K0001100455/,"¥9,687",Gold,SFX,100,full,x1,Enhance,Enhance ENP7100S?,double sided,half-bridge LLC,unknown,Synchronous Rectification + DC/DC,unknown 105c,unknown,unknown,unknown,n/a,-,-,-,-,-
玄人志向,KRPW-TX300W/90+,https://kakaku.com/item/K0000585479/,"¥5,574",Gold,TFX,175,fixed,x1,IN WIN,INWIN GF (IP-P300GF7-2),single sided,double forward,unknown 105c,Passive Rectification + DC/DC,unknown 105c,unknown,n/a,unknown,n/a,Ecos ID # 2621.1,-,-,-,-
